PACKET COPY
TSC frequency: 3.20 GHz
Array size: 2500 bytes
Sample size: 1000
Sample data (cycle count):
packet 34
packet 27
packet 27
packet 37
packet 27
packet 37
packet 27
packet 37
packet 34
packet 34
packet 27
packet 27
packet 37
packet 27
packet 34
packet 27
packet 30
packet 27
packet 34
packet 27
packet 27
packet 37
packet 37
packet 34
packet 34
packet 37
packet 30
packet 27
packet 34
packet 37
packet 37
packet 34
packet 34
packet 34
packet 34
packet 37
packet 27
packet 34
packet 34
packet 34
packet 27
packet 27
packet 37
packet 27
packet 30
packet 27
packet 30
packet 34
packet 27
packet 37
packet 27
packet 34
packet 37
packet 37
packet 27
packet 34
packet 34
packet 27
packet 27
packet 37
packet 27
packet 27
packet 27
packet 27
packet 34
packet 27
packet 27
packet 34
packet 27
packet 27
packet 37
packet 34
packet 27
packet 27
packet 30
packet 27
packet 27
packet 27
packet 27
packet 34
packet 27
packet 34
packet 34
packet 27
packet 34
packet 27
packet 34
packet 34
packet 27
packet 27
packet 37
packet 27
packet 27
packet 27
packet 27
packet 27
packet 37
packet 27
packet 34
packet 27
packet 27
packet 34
packet 27
packet 27
packet 27
packet 27
packet 37
packet 37
packet 27
packet 27
packet 27
packet 27
packet 27
packet 37
packet 27
packet 34
packet 34
packet 30
packet 27
packet 37
packet 27
packet 27
packet 27
packet 30
packet 34
packet 27
packet 37
packet 27
packet 34
packet 27
packet 34
packet 37
packet 34
packet 34
packet 34
packet 27
packet 37
packet 27
packet 27
packet 27
packet 27
packet 27
packet 30
packet 64
packet 32
packet 44
packet 34
packet 34
packet 34
packet 27
packet 34
packet 34
packet 30
packet 27
packet 30
packet 34
packet 27
packet 30
packet 37
packet 34
packet 27
packet 34
packet 30
packet 27
packet 27
packet 27
packet 27
packet 30
packet 37
packet 37
packet 37
packet 27
packet 34
packet 27
packet 27
packet 27
packet 27
packet 34
packet 30
packet 34
packet 37
packet 27
packet 27
packet 27
packet 37
packet 27
packet 34
packet 27
packet 27
packet 34
packet 30
packet 34
packet 34
packet 34
packet 34
packet 34
packet 37
packet 27
packet 37
packet 34
packet 34
packet 27
packet 34
packet 37
packet 27
packet 27
packet 37
packet 37
packet 27
packet 27
packet 34
packet 27
packet 37
packet 37
packet 27
packet 27
packet 34
packet 27
packet 34
packet 34
packet 34
packet 27
packet 34
packet 27
packet 30
packet 34
packet 30
packet 34
packet 34
packet 34
packet 27
packet 27
packet 37
packet 37
packet 34
packet 27
packet 27
packet 27
packet 30
packet 34
packet 37
packet 27
packet 30
packet 34
packet 37
packet 34
packet 27
packet 37
packet 27
packet 27
packet 37
packet 27
packet 27
packet 27
packet 27
packet 34
packet 34
packet 30
packet 37
packet 27
packet 27
packet 27
packet 30
packet 34
packet 27
packet 37
packet 34
packet 34
packet 27
packet 27
packet 34
packet 27
packet 27
packet 34
packet 27
packet 37
packet 37
packet 34
packet 37
packet 34
packet 34
packet 34
packet 27
packet 27
packet 30
packet 34
packet 34
packet 34
packet 43
packet 27
packet 32
packet 27
packet 34
packet 37
packet 27
packet 30
packet 27
packet 34
packet 27
packet 37
packet 27
packet 27
packet 34
packet 34
packet 27
packet 27
packet 27
packet 27
packet 27
packet 27
packet 34
packet 34
packet 34
packet 27
packet 27
packet 27
packet 27
packet 27
packet 34
packet 27
packet 27
packet 27
packet 27
packet 27
packet 27
packet 27
packet 27
packet 27
packet 37
packet 27
packet 27
packet 27
packet 27
packet 27
packet 27
packet 30
packet 34
packet 34
packet 34
packet 27
packet 27
packet 27
packet 27
packet 34
packet 27
packet 27
packet 27
packet 37
packet 34
packet 27
packet 27
packet 27
packet 34
packet 34
packet 27
packet 27
packet 37
packet 27
packet 37
packet 27
packet 30
packet 37
packet 34
packet 27
packet 27
packet 27
packet 27
packet 37
packet 37
packet 27
packet 34
packet 27
