PACKET COPY
Array size: 2500 bytes
Sample size: 1000
Sample data (cycle count):
packet 45
packet 48
packet 36
packet 44
packet 48
packet 44
packet 36
packet 36
packet 59
packet 40
packet 27
packet 35
packet 27
packet 44
packet 37
packet 34
packet 34
packet 34
packet 27
packet 37
packet 34
packet 34
packet 27
packet 27
packet 27
packet 27
packet 34
packet 34
packet 34
packet 27
packet 37
packet 34
packet 27
packet 27
packet 30
packet 37
packet 27
packet 34
packet 37
packet 34
packet 27
packet 34
packet 27
packet 34
packet 37
packet 34
packet 34
packet 37
packet 27
packet 34
packet 27
packet 27
packet 27
packet 27
packet 27
packet 27
packet 37
packet 27
packet 27
packet 27
packet 34
packet 37
packet 27
packet 27
packet 34
packet 27
packet 27
packet 27
packet 27
packet 27
packet 34
packet 34
packet 34
packet 27
packet 27
packet 37
packet 27
packet 27
packet 37
packet 34
packet 30
packet 34
packet 27
packet 34
packet 34
packet 27
packet 34
packet 27
packet 37
packet 27
packet 30
packet 37
packet 30
packet 27
packet 37
packet 27
packet 34
packet 34
packet 37
packet 30
packet 34
packet 34
packet 37
packet 34
packet 34
packet 30
packet 37
packet 27
packet 37
packet 27
packet 34
packet 37
packet 34
packet 37
packet 34
packet 30
packet 27
packet 27
packet 34
packet 27
packet 34
packet 27
packet 34
packet 27
packet 27
packet 37
packet 34
packet 27
packet 34
packet 34
packet 27
packet 30
packet 34
packet 34
packet 37
packet 37
packet 37
packet 27
packet 34
packet 34
packet 27
packet 37
packet 27
packet 34
packet 34
packet 27
packet 34
packet 27
packet 34
packet 30
packet 27
packet 34
packet 27
packet 27
packet 37
packet 27
packet 34
packet 34
packet 27
packet 27
packet 37
packet 27
packet 27
packet 27
packet 27
packet 34
packet 30
packet 27
packet 27
packet 30
packet 34
packet 34
packet 27
packet 27
packet 37
packet 37
packet 27
packet 34
packet 27
packet 27
packet 34
packet 34
packet 34
packet 34
packet 27
packet 37
packet 34
packet 34
packet 34
packet 27
packet 37
packet 34
packet 34
packet 27
packet 27
packet 34
packet 34
packet 27
packet 37
packet 34
packet 27
packet 27
packet 34
packet 34
packet 27
packet 27
packet 34
packet 27
packet 34
packet 34
packet 37
packet 34
packet 34
packet 27
packet 27
packet 27
packet 34
packet 27
packet 37
packet 34
packet 34
packet 37
packet 30
packet 27
packet 27
packet 27
packet 34
packet 27
packet 27
packet 27
packet 27
packet 27
packet 27
packet 27
packet 34
packet 27
